PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Scotty Pippen Jr. (37170398),Tyler Herro (37170307),Jake LaRavia (37170492),Jaime Jaquez Jr. (37170401),Jay Huff (37170790),Donte DiVincenzo (37170511),Jalen Williams (37170290),Victor Wembanyama (37170256),49900,270.53,7.442783904108652e-07,183.50000000000003,235.9,80.05
Scotty Pippen Jr. (37170398),Andrew Nembhard (37170409),Zaccharie Risacher (37170583),Jalen Johnson (37170273),Rudy Gobert (37170376),Tyrese Haliburton (37170300),Scottie Barnes (37170268),Jay Huff (37170790),50000,268.93,2.640325694604998e-07,179.0,243.5,78.03
Shai Gilgeous-Alexander (37170258),Payton Pritchard (37170387),Jayson Tatum (37170261),Jake LaRavia (37170492),Rudy Gobert (37170376),Jalen Green (37170373),Keldon Johnson (37170569),Jay Huff (37170790),49900,270.33,1.4392244455741155e-06,172.5,239.4,78.35
Scotty Pippen Jr. (37170398),Terry Rozier (37170439),Jake LaRavia (37170492),Jalen Williams (37170290),Bam Adebayo (37170293),Desmond Bane (37170329),Keldon Johnson (37170569),Isaiah Hartenstein (37170318),50000,272.61,7.468626365835264e-07,162.39999999999998,240.29999999999998,79.87
Scotty Pippen Jr. (37170398),Terry Rozier (37170439),Jake LaRavia (37170492),Naz Reid (37170446),Isaiah Hartenstein (37170318),Payton Pritchard (37170387),Jalen Johnson (37170273),Bam Adebayo (37170293),49900,270.34,1.27383591613824e-06,170.00000000000003,243.2,79.29
Trae Young (37170265),Andrew Nembhard (37170409),Zaccharie Risacher (37170583),Jaren Jackson Jr. (37170314),Onyeka Okongwu (37170478),Jaylen Brown (37170295),Brandon Clarke (37170586),Julius Randle (37170325),50000,268.38,1.6785162505117445e-06,185.2,236.5,78.04
Scotty Pippen Jr. (37170398),Andrew Nembhard (37170409),Jayson Tatum (37170261),Nikola Jovic (37170519),Alperen Sengun (37170284),T.J. McConnell (37170427),Jalen Williams (37170290),Jay Huff (37170790),49900,269.36,1.3055692711975145e-07,183.60000000000002,224.80000000000004,79.9
Payton Pritchard (37170387),Tyler Herro (37170307),Devin Vassell (37170391),Julius Randle (37170325),Jay Huff (37170790),Amen Thompson (37170347),Jaylen Brown (37170295),Scotty Pippen Jr. (37170398),50000,268.81,1.0236776063213701e-06,209.8,248.00000000000003,78.78999999999999
Scotty Pippen Jr. (37170398),Donte DiVincenzo (37170511),Bennedict Mathurin (37170365),Jaime Jaquez Jr. (37170401),Jay Huff (37170790),Trae Young (37170265),Jaylen Brown (37170295),Isaiah Hartenstein (37170318),50000,268.61,4.063947835878869e-07,186.79999999999998,240.0,78.69
Terry Rozier (37170439),Jaylen Brown (37170295),Keldon Johnson (37170569),Jake LaRavia (37170492),Bam Adebayo (37170293),Scotty Pippen Jr. (37170398),Tari Eason (37170430),Jayson Tatum (37170261),49900,269.8,5.41558153414656e-07,191.79999999999998,238.6,79.22
