PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Carlton Carrington (36930293),Jordan Poole (36930110),Karl-Anthony Towns (36930021),Marcus Smart (36930285),OG Anunoby (36930138),Tyler Herro (36930073),Jimmy Butler (36930076),Isaiah Joe (36930360),50000,259.65,1.2121344152015155e-06,165.5,247.1,78.31
Carlton Carrington (36930293),Marvin Bagley III (36930299),Karl-Anthony Towns (36930021),Shai Gilgeous-Alexander (36930002),Josh Hart (36930098),CJ McCollum (36930094),Brandon Clarke (36930316),Haywood Highsmith (36930378),50000,257.73,2.1444646649038195e-07,140.4,239.29999999999998,78.34
Jared Butler (36930398),Carlton Carrington (36930293),Nikola Jokic (36929997),Mikal Bridges (36930150),Bam Adebayo (36930056),Marcus Smart (36930285),Aaron Gordon (36930147),Alexandre Sarr (36930172),49900,269.02,1.532024518940273e-05,221.5,242.6,79.17
Mason Plumlee (36930301),Karl-Anthony Towns (36930021),Marcus Smart (36930285),OG Anunoby (36930138),Shai Gilgeous-Alexander (36930002),Tyler Herro (36930073),Oso Ighodaro (36930289),Aaron Wiggins (36930341),50000,259.01,1.1423997528676766e-07,129.1,231.6,79.35
Jared Butler (36930398),Carlton Carrington (36930293),Nikola Jokic (36929997),Mason Plumlee (36930301),OG Anunoby (36930138),Aaron Gordon (36930147),Christian Braun (36930189),RJ Barrett (36930048),49900,266.07,9.392200401546746e-06,217.1,244.1,78.87
Carlton Carrington (36930293),Jordan Poole (36930110),Jrue Holiday (36930224),Karl-Anthony Towns (36930021),Tyler Herro (36930073),Christian Braun (36930189),Michael Porter Jr. (36930102),Oso Ighodaro (36930289),49900,261.34,1.8416775580963586e-07,142.1,251.9,78.4
Nikola Jokic (36929997),Jordan Poole (36930110),Jrue Holiday (36930224),Jay Huff (36930422),OG Anunoby (36930138),Christian Braun (36930189),Michael Porter Jr. (36930102),Oso Ighodaro (36930289),50000,264.44,1.525542060422851e-07,142.3,242.8,77.99000000000001
Jared Butler (36930398),Carlton Carrington (36930293),Jordan Poole (36930110),Jrue Holiday (36930224),Josh Hart (36930098),Michael Porter Jr. (36930102),Kristaps Porzingis (36930084),RJ Barrett (36930048),49700,256.81,6.027581100229578e-07,163.5,245.7,77.99
Carlton Carrington (36930293),Jordan Poole (36930110),Jrue Holiday (36930224),Mikal Bridges (36930150),OG Anunoby (36930138),Scottie Barnes (36930013),Desmond Bane (36930120),Alexandre Sarr (36930172),49800,261.8,5.287033250063234e-06,185.5,261.4,78.03
Carlton Carrington (36930293),Nikola Jokic (36929997),Mikal Bridges (36930150),Marcus Smart (36930285),Desmond Bane (36930120),Derrick White (36930106),Oso Ighodaro (36930289),Royce O'neale (36930194),50000,260.89,0.0,156.2,246.4,78.02
Nikola Jokic (36929997),Mikal Bridges (36930150),Jay Huff (36930422),Marcus Smart (36930285),OG Anunoby (36930138),Shai Gilgeous-Alexander (36930002),Brandon Clarke (36930316),Aaron Wiggins (36930341),49800,261.55,4.5305685703100177e-07,154.0,228.2,77.62
Carlton Carrington (36930293),Jordan Poole (36930110),Bam Adebayo (36930056),OG Anunoby (36930138),Aaron Gordon (36930147),Desmond Bane (36930120),Jamal Murray (36930069),Scotty Pippen Jr. (36930351),49600,254.73,1.86905903974288e-07,153.8,245.2,77.76
Jared Butler (36930398),Carlton Carrington (36930293),Mason Plumlee (36930301),Karl-Anthony Towns (36930021),OG Anunoby (36930138),Desmond Bane (36930120),Jaylen Brown (36930043),Jimmy Butler (36930076),50000,261.76,3.4030636067015326e-06,188.7,242.1,79.5
