Name,Team,Position,Salary,Projection,Std Dev,Ceiling,Floor,Bust%,Boom%,Ownership%,Optimal%,Leverage
Landry Shamet,NYK,SG,"3,000",3.54,2.36,5.14,1.95,99,0,0,0,0
Jacob Toppin,NYK,PF,"3,000",0.65,0.43,0.94,0.36,100,0,0,0,0
Tyler Kolek,NYK,PG,"3,000",0.76,0.51,1.1,0.42,100,0,0,0,0
Jericho Sims,NYK,C,"3,000",0.7,0.47,1.02,0.39,100,0,0,0,0
Daishen Nix,MIN,PG,"3,000",0.82,0.54,1.18,0.45,100,0,0,0,0
Terrence Shannon Jr.,MIN,SG/SF,"3,000",0.77,0.51,1.11,0.42,100,0,0,0,0
Leonard Miller,MIN,PF/C,"3,000",0.9,0.6,1.3,0.49,100,0,0,0,0
Ryan Rollins,MIL,PG,"4,000",3.07,2.05,4.45,1.69,99,0,0,0,0
Delon Wright,MIL,PG/SG,"3,000",0.86,0.58,1.25,0.48,100,0,0,0,0
Stanley Umude,MIL,SG,"3,000",0.93,0.62,1.35,0.51,100,0,0,0,0
Pat Connaughton,MIL,SF/PF,"3,100",0.91,0.61,1.32,0.5,100,0,0,0,0
Marjon Beauchamp,MIL,PG/SF,"3,000",1.02,0.68,1.48,0.56,100,0,0,0,0
Pelle Larsson,MIA,SF,"3,000",6.5,4.33,9.42,3.58,94,0,0,0,0
Josh Christopher,MIA,PG,"3,000",1.05,0.7,1.53,0.58,100,0,0,0,0
Kevin Love,MIA,C,"3,000",1.75,1.17,2.53,0.96,100,0,0,0,0
Colin Castleton,MEM,C,"3,000",0.69,0.46,1,0.38,100,0,0,0,0
Jordan Miller,LAC,SG/SF,"3,400",0.74,0.5,1.08,0.41,100,0,,,
Bones Hyland,LAC,PG,"3,500",1.09,0.73,1.58,0.6,100,0,,,
Kobe Brown,LAC,PF/C,"3,000",0.76,0.5,1.1,0.42,100,0,,,
Kai Jones,LAC,PF/C,"3,000",0.74,0.49,1.07,0.41,100,0,,,
Johnny Furphy,IND,SG/SF,"3,000",0.59,0.39,0.85,0.32,100,0,0,0,0
James Johnson,IND,PF/C,"3,000",0.71,0.48,1.03,0.39,100,0,0,0,0
Pat Spencer,GSW,PG,"3,000",5.29,3.53,7.67,2.91,99,0,0,0,0
Quinten Post,GSW,C,"3,000",0.66,0.44,0.96,0.36,100,0,0,0,0
